,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,old_index,namematch_source_data,namematch_resource_data,namematch_distance
16781,Siebold,P.F.,,von,,,,,"Siebold, P.F.",397,http://id.snsb.info/snsb/collection/196693/526882/178460,3691,"Siebold, P.F.","Siebold, P.F.v.",0.65
16825,Silva,F.,,De,,,,,"Silva, F.",1,http://id.snsb.info/snsb/collection/473807/583566/255034,10274,"Silva, F.","Silva, F.O.",0.65
16833,Silva,K.,,,,,,,"Silva, K.",2,https://herbarium.bgbm.org/object/B100279646,8795,"Silva, K.","Silva, M.",0.65
16838,Silva,T.,,,,,,,"Silva, T.",1,https://herbarium.bgbm.org/object/B101222070,14372,"Silva, T.","Silva, M.",0.65
16875,Simpson,M.J.,,,,,,,"Simpson, M.J.",5,https://herbarium.bgbm.org/object/B100025123,9081,"Simpson, M.J.","Simpson, M.J.A.",0.65
16991,Smith,D.C.,,,,,,,"Smith, D.C.",1,https://herbarium.bgbm.org/object/B100279597,19144,"Smith, D.C.","Smith, D.",0.65
17082,Sole,M.,,,,,,,"Sole, M.",2,https://herbarium.bgbm.org/object/B100165523,9356,"Sole, M.","Sole, M.I.",0.65
17115,Sonder,W.,,,,,,,"Sonder, W.",6,https://je.jacq.org/JE00029612,19421,"Sonder, W.","Sonder, M.",0.65
17186,Spannagel,P.C.,,,,,,,"Spannagel, P.C.",9,https://herbarium.bgbm.org/object/B200127738,19741,"Spannagel, P.C.","Spannagel, C.",0.65
17234,Spix,J.B.,,von,,,,,"Spix, J.B.",4,http://id.snsb.info/snsb/collection/463733/565072/242580,15327,"Spix, J.B.","Spix, J.B.v.",0.65
17281,Stahl,E.,,,,,,,"Stahl, E.",1,https://herbarium.bgbm.org/object/B2001431951,6918,"Stahl, E.","Stahl, W.",0.65
17475,Stockwell,H.,,,,,,,"Stockwell, H.",2,https://herbarium.bgbm.org/object/B100144985,11515,"Stockwell, H.","Stockwell, W.P.",0.65
17862,Taquet,E.J.,,,,,,,"Taquet, E.J.",4,https://herbarium.bgbm.org/object/B100296811,13337,"Taquet, E.J.","Taquet, É.J.",0.65
